City_ID,City,Country,Date,Lat,Lng,Max Temp (C),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Bethel,US,2023-03-09 21:01:40,41.3712,-73.414,9.41,51,36,2.24
1,Nelson,NZ,2023-03-09 21:01:40,-41.2833,173.2833,18.39,82,71,1.13
2,Puerto Ayora,EC,2023-03-09 21:01:31,-0.7393,-90.3518,26.97,89,98,5.81
3,Miyoshi City,JP,2023-03-09 21:00:27,35.0833,137.0667,14.32,72,80,1.06
4,Maniitsoq,GL,2023-03-09 21:01:41,65.4167,-52.9,-7.58,74,2,3.95
5,Leningradskiy,RU,2023-03-09 21:01:41,69.3833,178.4167,-13.43,86,26,2.48
6,Port Alfred,ZA,2023-03-09 21:01:41,-33.5906,26.891,21.23,80,71,1.96
7,Butaritari,KI,2023-03-09 21:01:41,3.0707,172.7902,27.16,77,100,5.25
8,Gigmoto,PH,2023-03-09 21:01:41,13.7796,124.39,24.36,82,43,5.33
9,Ancud,CL,2023-03-09 21:01:41,-41.8697,-73.8203,11.99,96,100,3.87
10,New Norfolk,AU,2023-03-09 21:01:41,-42.7826,147.0587,14.72,75,100,0.45
11,Marawi,PH,2023-03-09 21:01:42,7.9986,124.2928,19.42,97,55,0.73
12,Khatanga,RU,2023-03-09 21:01:42,71.9667,102.5,-25.94,97,100,4.85
13,Atuona,PF,2023-03-09 21:01:42,-9.8,-139.0333,26.39,75,4,2.91
14,Kungurtug,RU,2023-03-09 21:01:42,50.5994,97.5228,-15.26,97,100,0.29
15,East London,ZA,2023-03-09 20:57:25,-33.0153,27.9116,23.05,75,85,1.95
16,Hithadhoo,MV,2023-03-09 21:01:42,-0.6,73.0833,27.42,72,90,0.4
17,Raudeberg,NO,2023-03-09 21:01:43,61.9875,5.1352,-5.63,57,0,3.22
18,Tanout,NE,2023-03-09 21:01:43,14.9709,8.8879,28.68,11,64,4.71
19,Tubmanburg,LR,2023-03-09 21:01:43,6.8708,-10.8172,25.57,83,61,1.7
20,Ugoofaaru,MV,2023-03-09 21:01:43,5.6667,73.0,27.39,73,28,5.98
21,Sohag,EG,2023-03-09 21:01:44,26.557,31.6948,19.9,24,0,2.55
22,Chui,UY,2023-03-09 21:01:44,-33.6971,-53.4616,24.23,67,0,4.79
23,Yakeshi,CN,2023-03-09 21:01:44,49.2833,120.7333,-4.32,89,100,4.77
24,Guerrero Negro,MX,2023-03-09 21:01:02,27.9769,-114.0611,17.39,58,24,6.49
25,North Bend,US,2023-03-09 21:01:44,43.4065,-124.2243,8.29,95,100,4.11
26,Marrakesh,MA,2023-03-09 20:59:27,31.6315,-8.0083,21.04,52,0,4.63
27,Kotel'nich,RU,2023-03-09 21:01:44,58.3089,48.348,-2.54,97,100,1.55
28,Longyearbyen,SJ,2023-03-09 21:01:45,78.2186,15.6401,-14.09,66,75,11.32
29,Coyhaique,CL,2023-03-09 21:01:45,-45.5752,-72.0662,13.67,75,69,4.31
30,Katsuura,JP,2023-03-09 21:01:45,35.1333,140.3,17.01,74,100,9.46
31,Plettenberg Bay,ZA,2023-03-09 21:00:46,-34.0527,23.3716,18.01,85,67,0.87
32,Ribeira Grande,PT,2023-03-09 21:01:45,38.5167,-28.7,18.22,94,75,12.07
33,Clyde River,CA,2023-03-09 21:01:45,70.4692,-68.5914,-17.96,86,5,1.81
